feature,rf_importance,et_importance,mi_score,f_score,pearson_corr,spearman_corr,rf_importance_norm,et_importance_norm,mi_score_norm,f_score_norm,pearson_corr_norm,composite_score
cloud_cover_max (%),0.349519848461761,0.3269518933220774,0.9852221366726905,9982.67113811916,0.017099672205348988,0.07374805745879363,1.0,1.0,1.0,0.0,0.052586340995228895,0.6105172681990457
rain_today,0.0679105444757569,0.12408542561162586,0.600577479744171,inf,0.31660465475203803,0.3864081271255828,0.1942966752092381,0.37952196682767153,0.6095858562135558,,0.9736490931246828,0.5392633978437871
rain_sum (mm),0.11507570279572034,0.07974295464270811,0.7607545010569674,8769.083479808016,0.32517326518116985,0.40083942224459235,0.32923939313366385,0.2438981277412394,0.7721654566412818,0.0,1.0,0.46906059550323703
precipitation_hours (h),0.0801093417586881,0.06393690042343046,0.6586760152396356,5052.4729321436425,0.32055125254823147,0.39511917340054187,0.22919826187625628,0.19555445840604688,0.6685558421008766,0.0,0.9857860004869612,0.41581891257402825
temp_range,0.014474592090441173,0.01307161685632461,0.1336607315598295,230.9344591577863,0.1603024179892123,0.21739881936585367,0.041412790015056204,0.03998024517768391,0.1356655789436795,0.0,0.49297539236474447,0.14200680130023283
relative_humidity_2m_min (%),0.010707547405368384,0.013214723130795606,0.12225030705895357,259.8068978313228,0.16058479033935238,0.21782738288842465,0.03063501959185542,0.04041794343664467,0.12408400350383868,0.0,0.4938437674139133,0.1377961467892504
et0_fao_evapotranspiration_sum (mm),0.015371332773595711,0.015122290624252173,0.14401871559453294,333.0451276814363,0.11980019165830443,0.19680745506875144,0.043978425949899674,0.04625234150075815,0.14617892781105737,0.0,0.36841956115782737,0.12096585128390851
daylight_to_sunshine_ratio,0.025203557966981576,0.018066388324398747,0.22687004309761427,335.2505749230301,0.06626952842478276,0.10735275537584278,0.07210908930609404,0.055257023107683025,0.2302729858098842,0.0,0.20379759199410438,0.11228733804355313
sunshine_ratio,0.028078046499618103,0.017893643883272338,0.22770274582346417,389.58682874719835,0.06112223920012859,0.10735490185010792,0.08033319602074034,0.054728674917460925,0.2311181786804607,0.0,0.18796821800855743,0.11082965352544387
cloud_cover_min (%),0.011965092311860888,0.012487537000469052,0.1743487566383486,304.4913067821991,0.09142407461223727,0.16072802653709942,0.034232940888820285,0.03819380543598103,0.17696390504091014,0.0,0.28115495460950785,0.10610912119504386
